                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.8338,                 2.0716,                 2.1564,                0.40033,                0.52706,                0.41957,                0.16296,                 2.1483,                  2.063,                 2.4487,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.7744,                 1.9465,                 2.0739,                0.36421,                0.52632,                0.41618,                0.15789,                 1.9634,                 2.3049,                 2.3565,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.7642,                 1.9613,                 2.1001,                0.39252,                0.36842,                0.31682,                0.12004,                 1.9874,                 2.5192,                 2.4105,              0.0011552,              0.0011552,              0.0011552
                    131,                  1.788,                 2.0175,                 2.1126,                0.54621,                0.26316,                0.32284,                0.13901,                 2.0255,                 2.2305,                 2.4308,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.7639,                 1.9554,                 2.0788,                0.53948,                0.36842,                0.42426,                0.17225,                 2.0472,                 2.2426,                  2.316,               0.001142,               0.001142,               0.001142
                    133,                 1.8279,                 1.9778,                 2.1098,                0.36098,                0.36842,                0.32829,                0.10092,                 2.1709,                 2.2362,                 2.4115,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.7893,                 1.9747,                 2.1184,                0.61936,                0.26316,                0.33188,                0.11968,                 2.1319,                 2.2456,                 2.4204,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.7851,                 1.8684,                 2.1071,                0.60408,                0.42105,                0.53653,                0.15251,                 2.1308,                 2.1554,                 2.5202,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.7563,                 1.9753,                 2.1139,                0.33047,                0.49402,                0.41632,                0.17714,                 2.0641,                 1.9707,                  2.396,              0.0011156,              0.0011156,              0.0011156
                    137,                  1.778,                 1.9519,                 2.0882,                 0.4535,                0.30637,                0.27968,                0.10999,                 2.0887,                 2.4929,                 2.4513,               0.001109,               0.001109,               0.001109
                    138,                  1.785,                 1.9348,                 2.0911,                0.45224,                0.42105,                0.39083,                0.16509,                 2.0677,                 2.2968,                 2.4296,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.8061,                 1.9745,                 2.1098,                0.65364,                0.26316,                0.36917,                0.11313,                 2.0118,                 2.7639,                 2.3935,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.7481,                 1.9181,                 2.0697,                0.24345,                0.47368,                0.32993,                0.11046,                 1.9059,                 2.4246,                 2.3083,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.7788,                 1.9917,                  2.104,                0.55341,                0.36842,                0.42553,                0.13459,                 2.0824,                 2.2355,                  2.378,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.7278,                 1.9168,                 2.0296,                 0.6106,                0.33113,                0.40322,                0.14672,                 2.1251,                 2.2286,                 2.4369,               0.001076,               0.001076,               0.001076
                    143,                 1.7788,                 1.9389,                 2.0862,                0.43689,                0.32729,                0.32807,                0.13189,                 2.0773,                 2.2706,                 2.4257,              0.0010694,              0.0010694,              0.0010694
